userName,score,content,case_folding,hasil_normalisasi,tokenizing,stopword_removal,Sentimen,label_svm,Topik_LDA,processed_words,servqual_label
Pengguna Google,3,"Baru kali ini agak ribet pakai mobile jkn, masuk profil anak harus pakai no HP sendiri?",baru kali ini agak ribet pakai mobile jkn masuk profil anak harus pakai no hp sendiri,baru kali ini agak ribet pakai mobile jkn masuk profil anak harus pakai nomor hp sendiri,"['baru', 'kali', 'ini', 'agak', 'ribet', 'pakai', 'mobile', 'jkn', 'masuk', 'profil', 'anak', 'harus', 'pakai', 'nomor', 'hp', 'sendiri']","['kali', 'ribet', 'pakai', 'mobile', 'jkn', 'masuk', 'profil', 'anak', 'pakai', 'nomor', 'hp']",1,1,0,"['kali', 'ribet', 'pakai', 'mobile', 'jkn', 'masuk', 'profil', 'anak', 'pakai', 'nomor', 'hp']",Tidak Ada Kecocokan
Pengguna Google,1,"Makin lama makin ga jelas ni aplikasi, mntang2 mau pesta pemilu.. HP ga di root malah disangka di root.. Ga bisa dibuka nih apk'a.. Tolong diperbaiki.. Siapa dalang dibalik konspirasi ini?",makin lama makin ga jelas ni aplikasi mntang mau pesta pemilu hp ga di root malah disangka di root ga bisa dibuka nih apka tolong diperbaiki siapa dalang dibalik konspirasi ini,makin lama makin tidak jelas nih aplikasi mntang mau pesta pemilu hp tidak di root malah disangka di root tidak bisa dibuka nih apka tolong diperbaiki siapa dalang dibalik konspirasi ini,"['makin', 'lama', 'makin', 'tidak', 'jelas', 'nih', 'aplikasi', 'mntang', 'mau', 'pesta', 'pemilu', 'hp', 'tidak', 'di', 'root', 'malah', 'disangka', 'di', 'root', 'tidak', 'bisa', 'dibuka', 'nih', 'apka', 'tolong', 'diperbaiki', 'siapa', 'dalang', 'dibalik', 'konspirasi', 'ini']","['tidak', 'aplikasi', 'mntang', 'pesta', 'pemilu', 'hp', 'tidak', 'root', 'disangka', 'root', 'tidak', 'bisa', 'dibuka', 'apka', 'tolong', 'diperbaiki', 'dalang', 'dibalik', 'konspirasi']",1,1,0,"['tidak', 'aplikasi', 'mntang', 'pesta', 'pemilu', 'hp', 'tidak', 'root', 'disangka', 'root', 'tidak', 'bisa', 'dibuka', 'apka', 'tolong', 'diperbaiki', 'dalang', 'dibalik', 'konspirasi']",reliability
Pengguna Google,3,Kenapa mau cek tagihan pembayaran selalu loading,kenapa mau cek tagihan pembayaran selalu loading,kenapa mau cek tagihan pembayaran selalu loading,"['kenapa', 'mau', 'cek', 'tagihan', 'pembayaran', 'selalu', 'loading']","['cek', 'tagihan', 'pembayaran', 'loading']",1,1,0,"['cek', 'tagihan', 'pembayaran', 'loading']",tangibles
Pengguna Google,5,"perbaikan untuk update data, tks",perbaikan untuk update data tks,perbaikan untuk memperbarui data terima kasih,"['perbaikan', 'untuk', 'memperbarui', 'data', 'terima', 'kasih']","['perbaikan', 'memperbarui', 'data', 'terima', 'kasih']",2,2,1,"['perbaikan', 'memperbarui', 'data', 'terima', 'kasih']",reliability
Pengguna Google,5,Cepet bagus alhamdulillah,cepet bagus alhamdulillah,cepat bagus alhamdulillah,"['cepat', 'bagus', 'alhamdulillah']","['cepat', 'bagus', 'alhamdulillah']",2,2,1,"['cepat', 'bagus', 'alhamdulillah']",responsiveness
Pengguna Google,1,"Aplikasinya jelek sekali mau registrasi sulit, sudah masukin nomor hp bahkan email tidak muncul kode verivikasi,",aplikasinya jelek sekali mau registrasi sulit sudah masukin nomor hp bahkan email tidak muncul kode verivikasi,aplikasinya jelek sekali mau registrasi sulit sudah memasuki nomor hp bahkan email tidak muncul kode verifikasi,"['aplikasinya', 'jelek', 'sekali', 'mau', 'registrasi', 'sulit', 'sudah', 'memasuki', 'nomor', 'hp', 'bahkan', 'email', 'tidak', 'muncul', 'kode', 'verifikasi']","['aplikasinya', 'jelek', 'registrasi', 'sulit', 'sudah', 'memasuki', 'nomor', 'hp', 'email', 'tidak', 'muncul', 'kode', 'verifikasi']",1,1,2,"['aplikasinya', 'jelek', 'registrasi', 'sulit', 'sudah', 'memasuki', 'nomor', 'hp', 'email', 'tidak', 'muncul', 'kode', 'verifikasi']",assurance
Pengguna Google,5,BPJS sekarang banyak mengalami kemajuan. Baik dari pelayanan maupun aplikasinya. Terima kasih atas peningkatannya,bpjs sekarang banyak mengalami kemajuan baik dari pelayanan maupun aplikasinya terima kasih atas peningkatannya,bpjs sekarang banyak mengalami kemajuan baik dari pelayanan maupun aplikasinya terima kasih atas peningkatannya,"['bpjs', 'sekarang', 'banyak', 'mengalami', 'kemajuan', 'baik', 'dari', 'pelayanan', 'maupun', 'aplikasinya', 'terima', 'kasih', 'atas', 'peningkatannya']","['bpjs', 'mengalami', 'kemajuan', 'baik', 'pelayanan', 'aplikasinya', 'terima', 'kasih', 'peningkatannya']",2,2,1,"['bpjs', 'mengalami', 'kemajuan', 'baik', 'pelayanan', 'aplikasinya', 'terima', 'kasih', 'peningkatannya']",reliability
Pengguna Google,5,"Terima kasih,, aplikasi BPJS yg sangat mmbantu",terima kasih aplikasi bpjs yg sangat mmbantu,terima kasih aplikasi bpjs yang sangat mmbantu,"['terima', 'kasih', 'aplikasi', 'bpjs', 'yang', 'sangat', 'mmbantu']","['terima', 'kasih', 'aplikasi', 'bpjs', 'sangat', 'mmbantu']",0,0,1,"['terima', 'kasih', 'aplikasi', 'bpjs', 'sangat', 'mmbantu']",tangibles
Pengguna Google,1,Eror kenapa ya?,eror kenapa ya,error kenapa ya,"['error', 'kenapa', 'ya']",['error'],1,1,0,['error'],reliability
Pengguna Google,4,"This good , gua mah Bronx orang nya ini good blay aplikasi nya bro bro san",this good  gua mah bronx orang nya ini good blay aplikasi nya bro bro san,this bagus gua mah bronx orang ya ini bagus blay aplikasi ya bro bro san,"['this', 'bagus', 'gua', 'mah', 'bronx', 'orang', 'ya', 'ini', 'bagus', 'blay', 'aplikasi', 'ya', 'bro', 'bro', 'san']","['this', 'bagus', 'gua', 'mah', 'bronx', 'orang', 'bagus', 'blay', 'aplikasi', 'bro', 'bro', 'san']",0,2,2,"['this', 'bagus', 'gua', 'mah', 'bronx', 'orang', 'bagus', 'blay', 'aplikasi', 'bro', 'bro', 'san']",tangibles
