userName,score,content,case_folding,hasil_normalisasi,tokenizing,stopword_removal,Label,label_svm,Topik_LDA,processed_words,servqual_label
Pengguna Google,5,"Sangat puas dan cepat dgn adanya aplikasi digital bpjs kesehatan, semuanya menjadi mudah. Terimakasih bpjs kesehatan",sangat puas dan cepat dgn adanya aplikasi digital bpjs kesehatan semuanya menjadi mudah terimakasih bpjs kesehatan,sangat puas dan cepat dengan adanya aplikasi digital bpjs kesehatan semuanya menjadi mudah terimakasih bpjs kesehatan,"['sangat', 'puas', 'dan', 'cepat', 'dengan', 'adanya', 'aplikasi', 'digital', 'bpjs', 'kesehatan', 'semuanya', 'menjadi', 'mudah', 'terimakasih', 'bpjs', 'kesehatan']","['sangat', 'puas', 'cepat', 'aplikasi', 'digital', 'bpjs', 'kesehatan', 'mudah', 'terimakasih', 'bpjs', 'kesehatan']",3,3,2,"['sangat', 'puas', 'cepat', 'aplikasi', 'digital', 'bpjs', 'kesehatan', 'mudah', 'terimakasih', 'bpjs', 'kesehatan']",empathy
Pengguna Google,1,Aplikasi tolol server busuk. Pemerintah korup gini nih klo garap aplikasi.,aplikasi tolol server busuk pemerintah korup gini nih klo garap aplikasi,aplikasi bodoh server busuk pemerintah korup begini nih kalau garap aplikasi,"['aplikasi', 'bodoh', 'server', 'busuk', 'pemerintah', 'korup', 'begini', 'nih', 'kalau', 'garap', 'aplikasi']","['aplikasi', 'bodoh', 'server', 'busuk', 'pemerintah', 'korup', 'garap', 'aplikasi']",1,1,1,"['aplikasi', 'bodoh', 'server', 'busuk', 'pemerintah', 'korup', 'garap', 'aplikasi']",tangibles
Pengguna Google,4,Pelayanan di semua tingkatan mohon di perbaharui pelayanan nya,pelayanan di semua tingkatan mohon di perbaharui pelayanan nya,pelayanan di semua tingkatan mohon di perbaharui pelayanan ya,"['pelayanan', 'di', 'semua', 'tingkatan', 'mohon', 'di', 'perbaharui', 'pelayanan', 'ya']","['pelayanan', 'tingkatan', 'mohon', 'perbaharui', 'pelayanan']",3,3,2,"['pelayanan', 'tingkatan', 'mohon', 'perbaharui', 'pelayanan']",empathy
Pengguna Google,1,Ini aplikasi gimana sih mau login aja captcha salah terus...padahal udh bener smua di ulang2...ngapain di terbitin aplikasi klo bakalan nyusahin buat di gunain,ini aplikasi gimana sih mau login aja captcha salah teruspadahal udh bener smua di ulangngapain di terbitin aplikasi klo bakalan nyusahin buat di gunain,ini aplikasi bagaimana sih mau login saja captcha salah teruspadahal sudah benar semua di ulangngapain di terbitin aplikasi kalau bakalan menyusahkan buat di gunain,"['ini', 'aplikasi', 'bagaimana', 'sih', 'mau', 'login', 'saja', 'captcha', 'salah', 'teruspadahal', 'sudah', 'benar', 'semua', 'di', 'ulangngapain', 'di', 'terbitin', 'aplikasi', 'kalau', 'bakalan', 'menyusahkan', 'buat', 'di', 'gunain']","['aplikasi', 'login', 'captcha', 'salah', 'teruspadahal', 'sudah', 'ulangngapain', 'terbitin', 'aplikasi', 'menyusahkan', 'gunain']",1,1,1,"['aplikasi', 'login', 'captcha', 'salah', 'teruspadahal', 'sudah', 'ulangngapain', 'terbitin', 'aplikasi', 'menyusahkan', 'gunain']",reliability
Pengguna Google,1,"Tambah nyusahin aja orang mau berobat, mau buat akun aja di persusah, verifikasi no hp udh dimasukin kaga ada sama sekali masuk²",tambah nyusahin aja orang mau berobat mau buat akun aja di persusah verifikasi no hp udh dimasukin kaga ada sama sekali masuk,tambah menyusahkan saja orang mau berobat mau buat akun saja di persusah verifikasi nomor hp sudah dimasuki kagak ada sama sekali masuk,"['tambah', 'menyusahkan', 'saja', 'orang', 'mau', 'berobat', 'mau', 'buat', 'akun', 'saja', 'di', 'persusah', 'verifikasi', 'nomor', 'hp', 'sudah', 'dimasuki', 'kagak', 'ada', 'sama', 'sekali', 'masuk']","['menyusahkan', 'orang', 'berobat', 'akun', 'persusah', 'verifikasi', 'nomor', 'hp', 'sudah', 'dimasuki', 'kagak', 'masuk']",1,1,1,"['menyusahkan', 'orang', 'berobat', 'akun', 'persusah', 'verifikasi', 'nomor', 'hp', 'sudah', 'dimasuki', 'kagak', 'masuk']",reliability
Pengguna Google,1,"Apaan udah nunggu Berjam jam buat daftar gak bisa bisa masalah nya di nomor telepon, nomor nya udah benar padahal aneh bgt",apaan udah nunggu berjam jam buat daftar gak bisa bisa masalah nya di nomor telepon nomor nya udah benar padahal aneh bgt,apaan sudah menunggu berjam jam buat daftar tidak bisa bisa masalah ya di nomor telepon nomor ya sudah benar padahal jelek sangat,"['apaan', 'sudah', 'menunggu', 'berjam', 'jam', 'buat', 'daftar', 'tidak', 'bisa', 'bisa', 'masalah', 'ya', 'di', 'nomor', 'telepon', 'nomor', 'ya', 'sudah', 'benar', 'padahal', 'jelek', 'sangat']","['sudah', 'menunggu', 'berjam', 'jam', 'daftar', 'tidak', 'bisa', 'bisa', 'nomor', 'telepon', 'nomor', 'sudah', 'jelek', 'sangat']",1,1,1,"['sudah', 'menunggu', 'berjam', 'jam', 'daftar', 'tidak', 'bisa', 'bisa', 'nomor', 'telepon', 'nomor', 'sudah', 'jelek', 'sangat']",reliability
Pengguna Google,5,"Bagus,sangat membantu",bagussangat membantu,bagussangat membantu,"['bagussangat', 'membantu']","['bagussangat', 'membantu']",3,3,2,"['bagussangat', 'membantu']",empathy
Pengguna Google,5,Apik,apik,apik,['apik'],['apik'],2,2,2,['apik'],Tidak Ada Kecocokan
Pengguna Google,3,karena baru down load ke blm bisa beri komen,karena baru down load ke blm bisa beri komen,karena baru down load ke belum bisa beri komen,"['karena', 'baru', 'down', 'load', 'ke', 'belum', 'bisa', 'beri', 'komen']","['down', 'load', 'bisa', 'komen']",2,3,0,"['down', 'load', 'bisa', 'komen']",tangibles
Pengguna Google,5,"simple, mudah",simple mudah,mudah mudah,"['mudah', 'mudah']","['mudah', 'mudah']",2,2,2,"['mudah', 'mudah']",empathy
Pengguna Google,5,Mantul mantap betul,mantul mantap betul,mantap mantap betul,"['mantap', 'mantap', 'betul']","['mantap', 'mantap']",3,3,2,"['mantap', 'mantap']",empathy
Pengguna Google,5,Sangat memudahkan kita,sangat memudahkan kita,sangat memudahkan kita,"['sangat', 'memudahkan', 'kita']","['sangat', 'memudahkan']",3,3,2,"['sangat', 'memudahkan']",responsiveness
Pengguna Google,1,sering eror,sering eror,sering error,"['sering', 'error']",['error'],1,1,0,['error'],tangibles
